body,title,url
"
[email protected]

Trabajadores contratados bajo el régimen de Capítulo 3000 desconocen cuál será su futuro, pese a que Lucina Jiménez, directora del Instituto Nacional de Bellas Artes (INBA), declaró que actualmente cuentan con un “contrato puente”.

De acuerdo con la funcionaria, en el Instituto no habría despidos masivos y todo el personal regresó a laborar y con un sueldo asegurado.

Pero la incertidumbre continúa, pues a los empleados les pidieron que trabajaran pero sin darles certeza de qué pasaría después.

“El contrato puente es una extensión del contrato que finalizó el 31 de diciembre de 2018, no es una renovación ni un nuevo contrato. Las autoridades nos dijeron que la extensión de contrato sería por el 20% del contrato que cada trabajador haya tenido en 2018”, explica una de las trabajadoras, quien prefiere no dar su nombre por temor a que no la vuelvan a contratar.

La trabajadora señala que cada extensión de contrato se hizo de forma particular, por lo que ahora hay personal contratado por uno o dos meses, y que su salario les será entregado a través de transferencia bancaria, aunque desconocen si en esta ocasión su pago será de forma inmediata o deberán esperar, como en otros años.

Otro de los inconformes declara que nadie les ha explicado lo que sucederá una vez que se terminen las extensiones de contrato, aunque confirma lo dicho por la directora del INBA, quien dijo que en el instituto no hay despidos masivos.

El sector del Capítulo 3000 busca, entre otras cosas, que este año no le sean retrasados sus pagos, lo cual será planteado el lunes, cuando se reúnan para también trazar un plan de acción ante la falta de respuesta por parte de Lucina Jiménez, con quien solicitaron una reunión desde el 15 de diciembre del año pasado.

La reunión con Jiménez fue solicitada por medio de un documento que fue entregado en la Oficialía de Partes de la Dirección General del instituto; pero esa no ha sido la única misiva, también han buscado a la funcionaria por redes sociales.

Los trabajadores también se han dirigido con Alejandra Frausto, secretaria de Cultura, quien los canalizó con Héctor Domínguez, director de Asuntos Jurídicos del INBA.

“Es cierto que algo está cambiando, pero enfocaremos las acciones para tratar de cambiar nuestro tipo de contratación, que se nos reconozca como trabajadores, porque nosotros no buscamos una plaza o generar nuevos sindicatos, sino que se nos otorguen las prestaciones de ley, un seguro médico. La incertidumbre se recorrió un par de meses pero en realidad no sabemos qué pasará”, dice un trabajador.
",INBA posterga incertidumbre de empleados con un “contrato puente” ,http://eluniversal.com.mx/cultura/inba-posterga-incertidumbre-de-empleados-con-un-contrato-puente
"
Si eres de las personas que se 'sube al tren del meme' y consume alimentos porque están de moda, como en su momento el matcha o la cúrcuma, te adelantamos que ya hay una planta, que a pesar de su antigüedad está resurgiendo y promete convertirse en tendencia este 2019.
Se trata de la moringa, que de acuerdo con la Organización de las Naciones Unidas para la Alimentación y la Agricultura pertenece al género de arbustos y árboles, en la que todos sus componentes como corteza, vainas, hojas, nueces, semillas, tubérculos, raíces y flores son comestibles.
 (Foto Flickr)
Se ha encontrado a través de estudios, que este cultivo de origen asiático contiene sustancias anticancerígenas, hipotensoras, hipoglucemiantes y antibióticas. Además de que es rico en proteína.
En un documento publicado por la UNAM en el que explican los beneficios nutritivos y medicinales de la moringa en el que citan a Mark Olson, doctor del Instituto de Biología de la UNAM, señala que “su valor nutritivo está ampliamente comprobado. Sin embargo, en cuanto a su valor en el tratamiento de cáncer, diabetes e hipertensión en humanos aún no existe respaldo de pruebas clínicas”, a pesar de ello su consumo no produce ningún riesgo para la salud.
Además de su alto valor proteico, es rica en vitaminas A, B y C, y minerales, por lo que la FAO lo recomienda para mujeres embarazadas y lactantes, así como para niños pequeños. Incluso destaca sus propiedades antibióticas o para atender la hipotensión (cuando se tiene la presión baja) antiespasmódicas, anti-ulcerosas, anti-inflamatorias, hipocolesterolémicas e hipoglucémicas.
 (Foto Flickr)
Su consumo pude ser a través de tes, ensaladas o para adicionar jugos, en su presentación en polvo.
 



Artículo


Conoce la leche dorada y sus múltiples beneficios

Menú


Toma una taza diaria y te sentirás mucho mejor en pocos días








","Conoce las propiedades de la moringa, el superfood de moda",http://eluniversal.com.mx/menu/conoce-las-propiedades-de-la-moringa-el-superfood-de-moda
"
Luego de publicar un tuit en su cuenta personal diciendo que ""Si México no tuviera que cargar con Guerrero, Oaxaca y Chiapas, sería un país de desarrollo medio y potencia emergente..."", el ex candidato a la Presidencia de la República, Gabriel Quadri, ha recibido cientos de respuestas por parte de internautas tachándolo de ""desinformado"" y ""racista"".
El hastag #SiMéxico es tendencia gracias a la respuesta de los tuiteros contra Quadri.
Desde que el ex candidato publicó el tuit, #SiMexico, ha recabado más de 32 mil 600 usos en Twitter. La publicación original, por su parte, cuenta con más de mil 800 ""compartidos"" y cerca de 7 mil 200 ""me gusta"".
Aquí te dejamos algunas de las respuestas más reelevantes de los usuarios hacia Quadri:
 

Si México tuviera menos mexicanos con una mentalidad como la suya, sería una potencia en ciencia, investigación, productividad y sobre todo en solidaridad.
 Lo invito amablemente a repartir prudencia y menos culpas.
 Un abrazo. https://t.co/X0Cz1zJXnn
 — Aristóteles Núñez (@AristotelesN) 12 de enero de 2019



Si México no tuviera a políticos nefastos como éste, sin duda alguna seríamos una potencia. pic.twitter.com/GUjarNpzci
 — Julio Bello Dguez. (@Julio_be) 12 de enero de 2019



Si México no tuviera que cargar con Gabriel Quadri... pic.twitter.com/HRztwaAFeH
 — Pablo Daniel (@pablodanielGlez) 12 de enero de 2019
 

Si México no tuviera a Guerrero, Oaxaca y Chiapas seríamos un país sin la aportación cultural e histórica tan importante de esos estados.
 — Hugo Rojas (@econorojas) 12 de enero de 2019

agv
","Si México, la tendencia en redes que desató Quadri",http://eluniversal.com.mx/nacion/sociedad/si-mexico-la-tendencia-en-redes-que-desato-quadri
"
[email protected]

La Secretaría de Movilidad de la Ciudad de México trabaja en las sanciones que tendrán los conductores que pierdan sus puntos por violar el reglamento de tránsito a través de las llamadas fotocívicas.

Las penalidades estarán orientadas al cambio de conducta frente al volante para mejorar la seguridad vial y movilidad con castigos cívicos, como pintar una cebra peatonal o proteger un cruce escolar.

“A nadie le vamos a poner un traje a rayas ni un grillete; en general lo que se va a promover es servicio comunitario orientado a la seguridad vial. Estamos trabajando en ello”, dijo Rodrigo Díaz González, subsecretario de Planeación de la Secretaría de Movilidad.

Aseguró que estos castigos estarán establecidos en marzo, al concluir los primeros 100 días de la administración de Claudia Sheinbaum, fecha en el que implementará por completo el sistema de fotocívicas.

Sobre el tema, refirió que lo que se busca es que la política de seguridad vial esté orientada a salvar vidas y no a recaudar dinero, como se hacía con las fotomultas, por lo que ahora el equipo para registrar las infracciones es reinstalado en puntos donde hay más peligro, pero no especificó dónde.

“Estamos convencidos de que es una manera más efectiva de cambiar conductas, eso es lo que nos interesa, tener una cultura orientada a la seguridad vial con un énfasis en los usuarios más vulnerables”, comentó.

Proceso. En el sistema de fotocívicas cada placa de automóvil tendrá 10 puntos que se renovarán cada seis meses. Se restará un punto por infracción; en el caso de que sea por exceso de velocidad, serán cinco menos, al considerarse una falta de mayor riesgo.

A la primera sanción, el responsable recibirá el Decálogo del Buen Conductor, mismo que establece que no se debe rebasar el límite de velocidad, no manejar bajo los efectos del alcohol, textear frente al volante, respetar a ciclistas y peatones, medidas de seguridad, entre otros temas.

A partir del tercer punto perdido, se iniciará un curso en línea.

Al quinto punto, los conductores tendrán que asistir a un curso presencial de sensibilización.

Cuando se acumulen seis fotocívicas, el automovilista deberá agendar una cita para cumplir dos horas de trabajo comunitario.

Si un conductor se queda sin puntos, no tendrá derecho a verificar y tendrá que cumplir con 10 horas de trabajo comunitario. Al concluir, se le regresarán los puntos.

“Para revisar el número de puntos vamos a establecer una serie de sistemas, uno de ellos es que los pondremos en una página web y otro será al momento de verificar, donde les informarán sobre las sanciones pendientes, por lo que no podrán realizar ese trámite”, explicó el subsecretario de Planeación.

En el caso de las fotomultas pendientes de pago, el Gobierno capitalino estableció que será hasta junio de este año el límite para pagar.

Sobre las multas por parquímetros, se estableció que seguirán los cobros económicos, y sólo al tratarse de vehículos con placas foráneas, se colocará la araña.
",Pondrán a infractores de CDMX a pintar calles y cuidar cruces escolares ,http://eluniversal.com.mx/metropoli/cdmx/pondran-infractores-de-cdmx-pintar-calles-y-cuidar-cruces-escolares
"
La jefa de Gobierno, Claudia Sheinbaum, afirmó que todos los servicios de transporte público están garantizados en la Ciudad de México, durante la falta de distribución de gasolina en la CDMX.
La mandataria local aclaró que no habrá esquema de gratuidad en el transporte público. También recordó las recomendaciones para la ciudadanía:
""Evitar usar el vehículo lo más posible y están garantizados todos los servicios de transporte públicos; si gastabas mucho en gasolina, puedes utilizar el transporte público.
""No se está pensando en otra medida de gratuidad, ni demás sino más bien el uso de transporte público, la bicicleta, caminar, etcétera; es una situación excepcional, temporal"", sostuvo la jefa de Gobierno.
De acuerdo con las autoridades, el número de usuarios en el Sistema de Transporte Colectivo (STC) Metro permanece sin cambios, esto, a pesar de que automovilistas han optado por ocupar este medio para ahorrar gasolina.
El único aumento se reportó en el Sistema Metrobús, ya que registró un 7% más de usuarios durante esta semana.
","Transporte público está garantizado, dice Sheinbaum ante desabasto de gasolina",http://eluniversal.com.mx/metropoli/cdmx/transporte-publico-esta-garantizado-dice-sheinbaum-ante-desabasto-de-gasolina
"Zuleyka Rivera, la ex Miss Universo pronto estará en las pantallas de México con la serie “El último dragón”.
La actriz forma parte del elenco de esta producción de Televisa que protagoniza Sebastián Rulli junto a Renata Notni.
Rivera es sin duda una de las mujeres más bellas del mundo, al menos su título de Miss Universo lo constata.
Además de actriz es presentadora y ha participado también como modelo, ella aparece por ejemplo en el éxito “Despacito” de Luis Fonsi.
Su belleza la muestra en sus fotos de Instagram, donde luce espectacular.
TE PUEDE INTERESAR
La mujer con el mejor trasero #Fotos
","Zuleyka Rivera, las mejores fotos",http://www.unionyucatan.mx/articulo/2019/01/11/espectaculos/zuleyka-rivera-las-mejores-fotos
"El ex candidato a la presidencia de las elecciones de 2012 por el partido Nueva Alianza, Gabriel Quadri, fue el centro de atención por realizar un comentario que indignó en redes sociales.
A través de Twitter, expresó que la presencia de estados como Oaxaca, Guerrero y Chiapas en la República Mexicana, son una especie de traba para la economía nacional.
Si México no tuviera que cargar con Guerrero, Oaxaca y Chiapas, sería un país de desarrollo medio y potencia emergente...
— Gabriel Quadri (@g_quadri) 12 de enero de 2019
Esto generó un sin número de reacciones, entre ellas la del propio gorbernador del estado de Oaxaca, Alejandro Murat, quien externó su molestia y le exigió una disculpa al político.
Inaceptable y ofensivo su comentario para Oaxaca. Le exijo una disculpa pública a todas y todos los oaxaqueños.@g_quadri
— Alejandro Murat (@alejandromurat) 12 de enero de 2019
Además, aprovechó para tundirle a las decisiones del actual gobierno de Andrés Manuel López Obrador, cuestionando la creación de la Guardia Nacional y el cierre de los ductos para combatir a los huachicoleros.
O sea, la Guardia Nacional será lo mismo que la Policía Federal, con otro nombre...
— Gabriel Quadri (@g_quadri) 12 de enero de 2019
¿Y mientras están cerrados los ductos qué?
— Gabriel Quadri (@g_quadri) 11 de enero de 2019
",,http://www.elgrafico.mx/al-dia/mexico-seria-potencia-sin-oaxaca-guerrero-y-chiapas-quadri
"La modelo Kendall Jenner ‘incendió’ Instagram al publicar un par de videos. La estrella de Keeping Up With the Kardashians mostró su figura delgada ataviada en dos bikinis.
En el videoclip, Kendall Jenner modela y posa para una sesión fotográfica. En el primer video usa un pequeño bikini verde olivo. El segundo tiene estampado animal print.
La ‘reina de las pasarelas’ de 23 años impactó a algunos de sus 101 millones de seguidores, pues la publicación ya suma cerca de 7 millones de reproducciones.



 

 
 


 


Ver esta publicación en Instagram

 


 
 
 


 
 


 
 
 


i do my own stunts
Una publicación compartida de  Kendall (@kendalljenner) el 9 Ene, 2019 a las 2:24 PST



Recomendamos  






Lady Gaga brilla con sexy vestido de raja en Nueva York


La ganadora del Globo de Oro a ""Mejor canción original"" obtuvo una nominación en los BAFTA 2019 como ""Mejor actriz""




Algunos fanáticos alabaron su belleza en la sección de comentarios. Su novio, el basquetbolista de la NBA Ben Simmons, comentó: “Ven aquí”. Ella describió el post con el mensaje: “Hago mis propios trucos”.
Kendall Jenner no reveló para qué marca estaba modelando. Lució su cabellera voluminosa, le pusieron maquillaje nude en los labios y resaltaron su mirada con sombra oscura en los párpados.
Kylie Jenner, su hermana, publicó en su cuenta de Instagram un par de fotografías donde ambas modelan mini vestidos en color blanco y negro. Kylie luce una prenda blanca y botines de punta del mismo color. Kendall usa un vestido negro, sombrero botines y bolso.



 

 
 


 


Ver esta publicación en Instagram

 


 
 
 


 
 


 
 
 


hi sister
Una publicación compartida de  Kylie (@kyliejenner) el 9 Ene, 2019 a las 5:59 PST



En 2018, Kendall Jenner mantuvo su corona como la modelo mejor pagada del mundo. De acuerdo con la revista Forbes, acumuló $ 22.5 millones de dólares en 12 meses.
Sus ganancias son resultado de los contratos con Estée Lauder, Adidas y Calvin Klein, entre otras marcas. Mira sus fotos en nuestra galería de la parte superior.
No te pierdas 






Lindsay Lohan presume minivestido blanco en Nueva York


Lindsay Lohan también usó un traje de baño dorado para promocionar su nuevo reality show 



",,http://www.viveusa.mx/showbiz/kendall-jenner-enciende-instagram-con-sesion-en-bikini
"
Con apoyo de usuarios mexicanos, que están generando mapas gracias a las herramientas que ofrece Google Maps, se está difundiendo información sobre las estaciones de servicio que tienen magna o premium.
Aunque no es una función que directamente Google haya activado, las comunidades de usuarios están compartiendo información a través de mapas personalizados de Google.
Otra opción para saber qué estaciones de servicio tienen gasolina es hacer una búsqueda de ¿dónde hay gasolineras? o, ¿dónde hay gasolina? o alguna búsqueda similar, posteriormente elegir alguna de las opciones que se muestren en el mapa,. Ya estando ahí es necesario ir a la sección de Opiniones y ahí muchos usuarios, dejando comentarios, están avisando si hay o no gasolina.
Por otro lado, tú también puedes orientar a los demás. En esta misma sección de Opiniones deja un comentario de si hay o no gasolina, el número de autos aproximados que están en fila para cargar, y la hora y día. 
Toma en cuenta que, como tal, Google Maps no está avisando  en qué lugares hay o no hay gasolina sino que, las posibilidades “sociales” y de comunicación de esta herramienta pueden ser utilizadas por los usuarios para estar informados. 
Otras aplicaciones como Gasoapp, Gasolina MX versión clásica, Tanque lleno y Guía Pemex que muestran ubicación y precios de gasolineras.
También podría interesarte: Para ahorrar gasolina al máximo, Waze te da sus mejores tips

* Captura de pantalla de Google Maps



Artículo


Mapa del desabasto de gasolina en México

Estados


Hasta ahora 11 estados sufren las consecuencias del desabasto de gasolina que se ha registrado en los últimos días 







",¿Dónde hay y dónde no hay gasolina? Google Maps te orienta,http://eluniversal.com.mx/cartera/negocios/donde-hay-y-donde-no-hay-gasolina-google-maps-te-dice
"
En un mensaje a la nación, el presidente Andrés Manuel López Obrador pidió apoyo a los mexicanos para que respalden la campaña del combate al huachicoleo (robo de combustible) y así se purifique la vida pública del país.
""Ayúdanos apoyándonos en esta campaña de combate al huachicol, en el combate al huachicol de arriba para abajo y en el combate a la corrupción y a la impunidad. Hablen a la gente, y sobre todo háblale a quienes por necesidad apoyaban a esos actos ilícitos, hay que hablar con ellos y convencerlos de que ahora ya el gobierno no roba y que a nadie le va a faltar trabajo y bienestar"", expresó.
El mensaje que se transmite en los espacios de radio y televisión del gobierno federal, el primer mandatario sostuvo que el antiguo régimen y el antiguo gobierno no estaba hecho para ayudar al pueblo, ""pero sí para facilitar el saqueó en beneficio de algunos cuántos"".
""Un ejemplo es el huachicol que se permitía desde arriba y significaba perdidas oficializadas de 65 mil millones de pesos al año. Por eso estamos enfrentando ese robo descarado a la nación para que lo que ahorremos con esta medida y otras de combate a la corrupción se utilice en programas de desarrollo, que haya bienestar para el pueblo"", dijo.
Reiteró a los ciudadanos que hablen mucho con la gente para que ""éstas acciones corruptas que se llevaban a cabo se eliminen y no tengan ningún apoyo social"".
""Qué los corruptos, sean del gobierno o los traficantes de influencia de siempre, no tengan ningún apoyo porque antes se dedicaban a robar y no perdían ni siquiera su respetabilidad"", expuso.
agv
","En mensaje a la nación, AMLO pide apoyo para combatir huachicoleo",http://eluniversal.com.mx/nacion/seguridad/en-mensaje-la-nacion-amlo-pide-apoyo-para-combatir-huachicoleo
