body,title,url
"
Inició la segunda jornada del Clausura 2019 y con ella llegó el debut del campeón en el estadio Jalisco. 
Los actuales monarcas, las Águilas del América, no disputaron su partido debut en la fecha 1 ante el Necaxa, pero ya lo hicieron ante los Rojinegros del Atlas a quienes vencieron 2-1.
El cuadro de Lobos BUAP marcha invicto y con dos victorias se encuentra en lo más alto con Chivas y Toluca.
Querétaro, Tijuana y Morelia son los dos equipos que no han sumado en lo que va del certamen.
Tras el arranque del torneo, así marcha la tabla en la Primera División del futbol mexicano. 
",Así marcha la tabla del Clausura 2019 en la Liga MX,http://eluniversal.com.mx/universal-deportes/futbol/asi-marcha-la-tabla-del-clausura-2019-en-la-liga-mx
"Si bien hay muchos alimentos que los diabéticos no deben comer para mantener controlada su glucosa, aún existen platillos deliciosos que pueden seguir consumiendo: este es el caso de las carnitas.
Sí, aunque suene difícil de creer, si eres diabético puedes disfrutar de unos deliciosos tacos de carnitas siempre y cuando varies un poco su preparación. 
La recomendación la hace la American Diabetes Association, quienes brindan algunas recetas ricas y sanas que los diabéticos aún pueden comer sin perjudicar su salud. Uno de esos platillos son las carnitas.
Tradicionalmente se hierve la carne de puerco y después se fríe pero, si tan sólo omites este último paso, podrás convertir unas carnitas grasosas en un alimento nutritivo debido a que se reduce en gran medida su contenido de grasa. Si quieres una consistencia un poco más crijiente, puedes asarlas un poco en un comal. 
Por si se te antojaron y quieres prepararlas aquí te dejamos la receta. Sin duda también es una excelente opción para quienes no son diabéticos pero desean cuidar su salud. 
En ambos casos cabe recordar que aún siguiendo la receta saludable la carne de cerdo debe ser consumida de manera ocasional.  
Receta
Porciones: 8
Tamaño de una porción: 1/2 taza
Ingredientes: 
Un kilo de lomo de cerdo deshuesado, 1/2 cdta comino, 1/2 cdta coriando, 1/2 cdta orégano, 2 dientes de ajo enteros, 3 granos de pimienta negra entera, 1 cebolla mediana, pelada y cortada en trozos grandes, 1 zanahoria mediana cortada en trozos grandes.
1. Eche todos los ingredientes en una cacerola grande y agregue agua hasta cubrir. Cocine hasta hervir, tape, baje a fuego mediano y hierva suavemente por 1–1 1/2 horas.
2. Desmenuce o corte la carne en tiritas. Use para tacos o enchiladas.
3. La carne se puede colocar en envases y guardar en el congelador en porciones individuales que luego puede calentar en el horno de microondas.
",,http://www.elbotiquin.mx/bienestar/recomiendan-diabeticos-comer-carnitas
"
La CNDH emitió la recomendación 84/2018, porque en el 2013 un elemento del Servicio de Protección Federal (SPF) usó arbitrariamente la fuerza pública en contra de un migrante centroamericano, le disparó por la espalda y le causó lesiones que lo dejaron con una parálisis permanente.
A los actos anteriores se sumó la omisión de brindarle atención médica y psicológica que como víctima de un delito debió recibir, por ello la Comisión Nacional de los Derechos Humanos dirigió la recomendación, a los titulares de la Secretaría de Seguridad y Protección Ciudadana (SSPC), gobierno de Guanajuato, Comisión Ejecutiva de Atención a Víctimas (CEAV), y al encargado de la Subprocuraduría Jurídica y de Asuntos Internacionales de la PGR.
La CNDH acreditó que el servidor público transgredió los derechos humanos del joven de 23 años, a la seguridad jurídica, a la integridad personal, a recibir atención derivada de su condición de víctima, y de acceso a la justicia en su modalidad de procuración.
El organismo nacional relata que el 28 de junio de 2013, un ciudadano centroamericano presentó una queja ante la Procuraduría de Derechos Humanos de Guanajuato en la que señaló que la víctima, así como un grupo de 10 personas centroamericanas, subieron al tren en la ciudad de Querétaro para dirigirse al norte del país y cruzar la frontera con los Estados Unidos de Norteamérica.
Al llegar a la ciudad de Apaseo el Grande, Guanajuato, observaron a un costado del tren a dos elementos de “Protección Federal Ferroviaria” (SPF), por lo que en cuanto el tren detuvo su marcha, bajaron y echaron a correr para que no los detuvieran, se escucharon disparos y momentos después el quejoso se percató de que el agraviado se hallaba tirado en el suelo.
Al ver al joven en el suelo, el elemento del SFP dijo “no quería darte amigo”, luego fue trasladado al Hospital General de Celaya, Guanajuato, donde recibió atención médica.
“Esta Comisión Nacional considera de especial importancia que la detención y aseguramiento de las personas se realice únicamente cuando su conducta flagrante esté prevista como delictiva por la legislación penal, y las leyes autoricen el uso legítimo de la fuerza y de las armas de fuego"".
Al accionar su arma de fuego en contra de la víctima sin justificación, haciendo uso excesivo de la fuerza pública, el elemento del SPF contravino el derecho que tiene toda persona a la seguridad jurídica, toda vez que no se trató de una situación de flagrancia”.
Tras concluir su investigación, la CNDH confirmó la violación a los derechos humanos, por lo que solicita al titular de la SSPC que en coordinación con la CEAV se brinde la reparación integral a la víctima en los términos y alcances de la Ley General de Víctimas; además de colaborar con el Organismo Nacional en la queja que presente ante el Órgano Interno de Control en el Servicio de Protección Federal contra el elemento responsable y diseñar e impartir un curso dirigido a su personal relacionado con la capacitación y formación en materia de derechos humanos sobre todo en materia del uso de la fuerza pública.
mpb
",CNDH emite recomendación por uso arbitrario de la fuerza contra un migrante,http://eluniversal.com.mx/nacion/sociedad/cndh-emite-recomendacion-por-uso-arbitrario-de-la-fuerza-contra-un-migrante
"[email protected]
Yalitza Aparicio Martínez nunca se imaginó ser actriz. Mucho menos, codearse con celebridades de Hollywood y ser la estrella internacional del momento, por su participación en “Roma”, filme del cineasta Alfonso Cuarón.
La profesora de preescolar siempre fue tímida, reservada, de excelentes calificaciones en el nivel básico, medio superior y superior. Se graduó con honores como docente de la Escuela Normal de Putla Villa de Guerrero.
Además de ser profesora de preescolar en su natal Tlaxiaco, compartía su tiempo y labores con su hermana Edith, en la elaboración de piñatas, el oficio que les generaba un dinero extra a la familia compuesta por seis miembros, los padres y cuatro hijos en total, uno más ya fallecido.
Eso cuenta Edith, su hermana, enfundada en un huipil de la etnia triqui, raíces de su madre, originaria de San Miguel Copala, pero también con sangre mixteca por parte de su padre, oriundo de Santa Catarina Yosonotú.
—¿Alguna vez dijo ella, [Yalitza] ‘quiero ser actriz’?—.
—¡Nunca! Nunca, de hecho, nos da mucha risa porque quien ha sido explayada en ese sentido he sido yo, y ella a lo que se inclinaba era más a otras cosas: la lectura, la poesía, la pintura... Nunca dijo que quería ser actriz—.

El origen
Yalitza fue siempre una niña tímida, “algo miedosa, muy precavida, seria, la más sobreprotectora”, platica Edith en su domicilio actual, una pequeña casa  ubicada en una cima rocosa de la agencia Campo de Aviación.
La hoy famosa actriz tuvo problemas de lenguaje y hasta los siete años comenzó a hablar fluidamente, pero eso no impidió que cursara la primaria, la secundaria y el bachillerato en Tlaxiaco.
Posteriormente, Yalitza  se trasladó al municipio de Putla Villa de Guerrero, también en la región Mixteca, para cursar la licenciatura de Profesora de Preescolar en la Escuela Normal.
Debido a  problemas en el seno del magisterio de la Sección 22 del Sindicato Nacional de Trabajadores de la Educación (SNTE), no pudo lograr la ubicación en una escuela para trabajar, por lo que retornó a su municipio natal.
Ahí fue contratada de manera temporal como profesora de un preescolar denominado México, donde daba clases.
Hace unos tres años, colaboradores del cineasta Alfonso Cuarón llegaron a Tlaxiaco para realizar un casting; quien era entonces director de la Casa de la Cultural, Miguel Ángel Martínez Oceguera, fue el que llamó a Edith.
“Morenita, ven a un casting, porque quieren actrices para una película, no importa que no sepan del tema”, le dijo el hombre, en ese entonces. Rogó, ofreció incluso pagar el taxi debido a la distancia.
Así acudió ella, embarazada entonces, pero también llamó a la tímida Yalitza, aunque se resistía a asistir a la prueba de actuación. Finalmente, pasó su hermana menor y dos meses después la llamaron  para llevarla a  la Ciudad de México.
“[Yalitza] tenía cierto temor, no fuera a tratarse de un asunto de trata de mujeres, porque hay muchas desaparecidas, pero no, la gran noticia no fue que había pasado a la siguiente fase, sino que era la seleccionada en definitiva”, relata  Edith.
Así comenzó la fama de Yalitza, al lado de su compañera actriz Nancy García, su traductora en mixteco; ambas  fueron dirigidas por Alfonso Cuarón.
Hoy, “Roma” está nominada como mejor película extranjera de los Spirit Awards, uno de los máximos galardones de la cinematografía independiente. Sería también nominada a los codiciados Oscar, según adelantan. Por lo pronto, ella ya tiene entre sus reconocimientos, el Hollywood Film Awards por su destacada actuación.

Vivir en precariedad
Varias piñatas a medio terminar cuelgan del techo de lámina del pequeño espacio de no más de metro y medio por tres metros de lo que parece ser un patio o recibidor; en el piso de cemento rústico, desperdicios de papel, una banca improvisada, algunos muebles y artículos varios.
A un lado, dos cuartos de tabicones, con paredes sencillas sin repellar, que albergan una recámara y una cocina-comedor; en el exterior, cercas de madera y carrizo; es la sencilla morada de Yalitza Aparicio Martínez y su familia, compuesta de padres, una hermana y dos hermanos, además de su sobrino consentido.
En el exterior, pobreza, calles pedregosas y empinadas; casas dispersas en la llamada agencia de Policía Campo de Aviación, zona también de riesgos, ante el escaso transporte, nula vigilancia policiaca y por su distancia del centro de la ciudad, unos cinco kilómetros.
La fama comienza a acosar a la familia Aparicio Martínez. Medios de comunicación, incluso internacionales, empiezan a llegar a la localidad, antigua zona de aterrizaje clandestina de aeronaves y donde recientemente se concluyó la construcción de un hospital de segundo nivel; autoridades estatales preparan el camino de acceso para pavimentarlo en fecha próxima.
Pero la casa de la familia aún está distante al menos medio kilómetro de la vía principal.  Raúl Ismael está a punto de salir de casa, pero con hospitalidad recibe a EL UNIVERSAL. Recién llegaron todos de la ciudad de Oaxaca, donde acompañaron a Yali —como la llaman—  a la presentación de “Roma” en el teatro Macedonio Alcalá, en el marco del ciclo de películas que presenta Oaxaca Cine.
“Es una larga historia, de tiempo, ella lleva años luchando, hasta que se le dio la oportunidad... pero ahora no sabemos qué tratos hizo con Netflix, que nosotros no sabemos ni qué es eso; no crea que somos especiales”, dice el hombre, aún joven, con raíces en el estado de Guerrero.
“Disculpen, somos gente humilde, disculpen el tiradero, llegamos tarde”, reitera el hombre, para insistir que son y seguirán siendo una familia sencilla, dedicada al trabajo, principalmente el de las dos jóvenes, Edith y Yalitza, con la elaboración de piñatas.
Edith platica que la fama comienza a acosarlos, e incluso a ella la confunden con Yalitza; a la actriz la ligan con su pequeño sobrino, pues siempre carga con él porque es el consentido de la familia.
“La casa es de todos los que vienen, sólo ese es el pequeño problema, bueno no problema, sino las restricciones que le ponen a Yali, pero ya estamos tratando de solucionar”, expone.

Violento lugar
Al final, la familia accede a la entrevista, principalmente Edith, acompañada de su pequeño hijo que juguetea en el reducido espacio de lo que es un recibidor.
Todos nacieron en Tlaxiaco y prácticamente toda su vida en la colonia Flores Magón, hasta que decidieron hace unos tres años comprar su propio predio y comenzar a asentar su propia  vivienda, en la agencia Campo de Aviación, alejada unos cinco kilómetros del centro de la ciudad.
Raúl Ismael Aparicio es originario de Santa Catarina Yosonotú y Margarita Martínez Merino, de San Miguel Copala (donde les mataron un pariente hace unos días); de la mezcla de las etnias mixteca y triqui son los cinco hijos del matrimonio, Edith la mayor, de 25 años; Yalitza, de 24; Alex Uriel, un joven fallecido; Jesse Akwid, de 15, y Pedro, de 12; de ellos uno va en tercero de secundaria y el otro en primero.
Por ahora, ahí continúan viviendo, hasta que comiencen a fluir los recursos para mejorar la vivienda o adquirir otra. O hasta que la violencia los obligue a emigrar.
Porque nadie sabe bien a bien cuándo la inseguridad sentó su reino en la heroica Ciudad Tlaxiaco, distante unos 175 kilómetros de la capital; es el centro comercial de diversas comunidades cercanas, pero también epicentro de diversos hechos violentos.
El otrora llamado “París chiquito”, vive un infierno. Un municipio rojo, de donde salió la joven  actriz de “Roma”, que vive sus primeros días de gloria al lado del cineasta Alfonso Cuarón y recorre ahora el país,  Estados Unidos y Europa.
Con reminiscencias francesas, por el paso de tropas en el la zona durante El Porfiriato —donde además encabezó batallas el general Porfirio Díaz— y por la afinidad de las familias adineradas a la moda parisina, Tlaxiaco se convirtió en los años recientes en un lugar de violencia, conflictos con el transporte público, linchamientos e intentos de linchamiento, hasta de una autoridad, y lo más reciente, el asesinato de una persona en plena festividad, a los ojos de cientos.
Pero también es un municipio con alta marginación y pobreza, a pesar de ser un centro comercial importante de la región.
De acuerdo con el Consejo Nacional para la Evaluación de la Política Social (Coneval) y el Instituto Nacional de Estadística y Geografía (Inegi), hasta  2015 Tlaxiaco tenía 39 mil 945 habitantes, con 10 mil 414 viviendas particulares; su grado de rezago social es medio.
Un   18% de su población  presenta rezago educativo, 23.6% carece de servicios de salud,  21% no tiene agua entubada en su vivienda y  1.60%  no cuenta con servicio de   electricidad en el hogar.
","Yalitza Aparicio, de hacer piñatas a actriz en Hollywood",http://oaxaca.eluniversal.com.mx/especiales/26-11-2018/yalitza-aparicio-de-hacer-pinatas-actriz-en-hollywood
"
Acambay.- En redes sociales circulan videos donde se observa a pobladores del municipio de Acambay, Estado de México, recogiendo combustible de una fuga del ducto de Pemex en garrafas, bidones y botes.
La grabación fue captada este sábado y muestra el acto de rapiña en la toma clandestina para extraer la gasolina. 
En la narración de quien grabó el video se señala que la gente abrió el ducto y se muestra un tambo lleno, además de bidones con un líquido con características de gasolina.
 

Captan en #video acto de rapiña en toma clandestina de Acambay. Aquí más información: https://t.co/GQ0Je1lJF9 pic.twitter.com/r8HHi6C4kB
 — El Universal (@El_Universal_Mx) 13 de enero de 2019

Este sábado, la Secretaría de Seguridad del Estado de México informó a través de su cuenta de Twitter que recibieron el reporte anónimo sobre una toma clandestina de combustible en la localidad de San Antonio Detiña, municipio de Acambay.
En el comunicado se indica que no se encontró a nadie explotando la toma, hallada en el kilómetro 5 de la carretera a Temascalcingo, donde se originó un derrame de hidrocarburo hasta el kilómetro 4 del libramiento hacia Acambay, en el poblado mencionado. Personal resguardó la zona.
etp
",Captan en video acto de rapiña en toma clandestina de Acambay,https://www.eluniversal.com.mx/metropoli/edomex/captan-en-video-acto-de-rapina-en-toma-clandestina-de-acambay
"
Un aficionado fue trasladado de urgencia al hospital, luego de caer de la tribuna del estadio Caliente, durante el juego entre Xolos de Tijuana y los Tigres, correspondiente a la fecha dos del Clausura 2019. 
Después de los 80 minutos, el seguidor de los Xolos, supuestamente integrante de la porra “la Masacre”, cayó a la fosa que separa la cancha con la tribuna.

Testigos aseguran que el golpe fue directo con la cara, a una altura estimada decuatro metros.
 
De inmediato fue asistido por paramédicos. Sin embargo, se determinó su traslado a la Cruz Roja en una ambulancia.
 



Artículo


Golean los Tigres a Xolos en la frontera

Universal Deportes


Los universitarios marcaron tres goles en su visita a Tijuana 







",Brutal accidente en el estadio de Xolos,http://eluniversal.com.mx/universal-deportes/futbol/brutal-accidente-en-el-estadio-de-xolos
"Para Domingo Matías el último martes de noviembre parecía un día normal. Se encontraba en su taller de carpintería que atiende desde hace 17 años. Jamás imaginó que al finalizar el día tendría una encomienda histórica: elaborar el bastón de mando para el presidente de México, Andrés Manuel López Obrador.
De las manos de este carpintero mixe, habitante de San Pedro y San Pablo Ayutla, en la Sierra Norte, nació la vara de madera de cedro y pino que representantes de pueblos originarios le entregaron al tabasqueño en una ceremonia el 1 de diciembre en el Zócalo de la Ciudad de México.
Dos semanas después de haber sido entregada, el carpintero aún mantiene el orgullo de haber labrado el bastón y la cabeza de Quetzatcóatl que lo adorna; cuenta a EL UNIVERSAL que es la primera ocasión en que una de sus piezas sale de Oaxaca.
“Fue una sorpresa, me da mucho orgullo. Fui afortunado de hacerlo”, expresa el hombre de 47 años.
Domingo narra que aquel martes fue el ex diputado local Alejandro Martínez quien le pidió tallar la vara para López Obrador. El encargo llegó apenas cuatro días antes de la toma de posesión y lo hizo en un día y medio.
Aunque en Ayutla los bastones de mando son sencillos y sólo en algunas ocasiones llevan un escudo, a solicitud del cliente, la del Presidente incluye la figura de Quetzalcóatl, dios de la cultura mesoamericana que representa esperanza.
Además, a diferencia de los bastones tradicionales que van de 40 a 60 centímetros de largo, de acuerdo con el grado de autoridad, la vara entregada a López Obrador mide un metro: el mango fue tallado en cedro y la cabeza del dios emplumado, en pino. El trabajo costó mil 200 pesos, lo justo a consideración de Domingo.
Luego de haberse desempeñado como autoridad local varias veces desde 1992, al hacer el bastón, Domingo sabía la gran responsabilidad que se le estaría otorgando al Presidente; el primero en recibir esa distinción.
Domingo confía en López Obrador y espera que honre a los pueblos originarios después de haber asumido la responsabilidad de “mandar obedeciendo al pueblo”.
“Lo que queremos es que él respete nuestra autonomía, nuestro territorio como indígenas porque el bastón significa mucho”, agrega.
Espera que el gobierno federal intervenga para solucionar el conflicto agrario que mantiene Ayutla con sus vecinos de Tamazulápam del Espíritu Santo y que ha provocado que desde hace 18 meses, 5 mil habitantes no tengan acceso al agua.
Gobernar por pueblos originarios
En Oaxaca no sólo nació el bastón de mando, sino también el interés por realizar la ceremonia de purificación al nuevo Presidente, relata Carmen Santiago Alonso, la oaxaqueña que junto con Longino Hernández, de Guerrero, entregó el símbolo de poder a López Obrador el 1 de diciembre.
Carmen Santiago, directora del Centro de Derechos Indígenas Flor y Canto y una de las representantes de los pueblos indígenas, se reunió con el presidente López Obrador en Guelatao de Juárez el 12 de mayo, mientras estaba en campaña. Ese día le entregó un pliego de demandas y soluciones para el respeto de los derechos de los pueblos originarios.
Fue en ese encuentro cuando el mandatario mexicano se comprometió con los representantes de organizaciones civiles y autoridades locales a gobernar para los pueblos originarios del país.
Después de esa reunión, convocada por el ahora presidente del Instituto Nacional de los Pueblos Indígenas, Adelfo Regino, cuenta que le surgió el interés por realizar una ceremonia de purificación para López Obrador, aunque en un principio visualizó el ritual en Monte Albán.
“Hemos escuchado y visto en su mirada la profunda necesidad que tiene de transformar al país”, dice.
Según cuenta, después de los resultados de la elección continuaron organizándose con Adelfo Regino, quien en octubre definió que la ceremonia de purificación y la entrega de la vara sería el 1 de diciembre.
Para ello, la comisión conformada por 13 personas se preparó con ayuno y oración durante más de un mes. La mujer zapoteca asegura que de Oaxaca se logró el consenso de más de la mitad de los 16 grupos étnicos del territorio, incluyendo al pueblo afromestizo. El resto no se consiguió, explica, por falta de tiempo.
Este apoyo hacia el Presidente, dice, continuará en Oaxaca porque los mismos representantes de los pueblos originarios lo respaldarán espiritualmente con ceremonias para fortalecerlo durante su sexenio.
Los rituales serán cada tres meses en distintos centros ceremoniales de la entidad, en los cuales participarán médicos tradicionales, con el fin de seguirlo “consagrando”.
“Durante estos seis años lo vamos a acompañar espiritualmente, es necesario porque palpamos que alrededor de él hay muchas energías negativas”, dice Carmen. Aunque las ceremonias no contarán con la presencia de López Obrador, su planeación comenzará desde enero y la primera se llevará a cabo en marzo de 2019.
Choque de opiniones
Aunque de Oaxaca surgió este apoyo, hay representantes de otras comunidades que consideran inapropiada la entrega de la vara de mando, al señalar que ocurrió fuera de territorio indígena y de forma generalizada, cuando cada grupo étnico tiene su propio ritual.
“El evento es, de alguna manera, poco apropiado, no inadecuado. Realizarlo fuera de su contexto significa faltarle al respeto a cada exposición ritual y simbólica de cada pueblo originario. Su realización debió haber sido de cada pueblo en su territorio”, considera Jaime Martínez Luna, ex síndico municipal de Guelatao y reconocido líder indígena.
Al respecto, Carmen Santiago, directora de Flor y Canto que organizó la ceremonia, considera que ahora le corresponde a ellos estar vigilantes de esa responsabilidad entregada a López Obrador.
“Es digno de entregarle el bastón [al Presidente] y es comprometerlo porque queremos que nos tome en cuenta, que no pasemos desapercibidos y que no nada más seamos folclor”. EL UNIVERSAL Oaxaca

",En la Sierra Mixe nació bastón de mando de AMLO ,http://oaxaca.eluniversal.com.mx/especiales/16-12-2018/en-la-sierra-mixe-nacio-baston-de-mando-de-amlo
"
El capitán del Barcelona, Leo Messi, sigue añadiendo récords a su colección, al alcanzar este domingo contra el Eibar su gol 400 en Liga, aumentando la leyenda del que es desde 2014 el mejor goleador absoluto del campeonato español.
El astro argentino aprovechó un pase hacia la izquierda de Luis Suárez para cruzar el balón haciendo el 2-0 (53) provisional en el partido de la 19ª jornada liguera.
 

 ¡LOGRO DESBLOQUEADO! 
  400 GOLES en #LaLigaSantander 
  ¡MESSI es #LaLigaHistory!  pic.twitter.com/2lcCSqx43W
 — LaLiga (@LaLiga) 13 de enero de 2019

Messi, de 31 años, ha marcado estos 400 goles en 435 partidos de Liga desde que en 2005 anotó su primer tanto en el campeonato español.
Desde hace cuatro años, el argentino es el máximo goleador histórico del campeonato tras superar en 2014 el récord que 60 años antes había establecido el mítico delantero vasco Telmo Zarra con 251 tantos.



Artículo


Messi y CR7, en manos de escultor mexicano

Universal Deportes


El futbol es inspiración para crear figuras de colección de los mejores jugadores del mundo y de la Liga MX 








Cinco veces ganador del título de 'Pichichi' liguero como mejor goleador de la temporada (2010, 2012, 2013, 2017, 2018), Messi intentará dar un paso más en la presente campaña igualando los seis trofeos de mejor artillero conseguidos por Zarra entre 1945 y 1953.
El argentino acumula ya 17 goles en lo que va de campeonato liderando la tabla de goleadores de la Liga española con una cómoda ventaja de tres goles sobre su compañero Luis Suárez, autor de dos tantos de su equipo este domingo, para el 1-0 y el 3-0.
 

 goles en @laliga 
 Leo #Messi, único e irrepetible.#BarçaEibar  pic.twitter.com/QjO2oVE1p5
 — FC Barcelona (@FCBarcelona_es) 13 de enero de 2019

Nombrado capitán del Barça al final de la pasada temporada, Messi podría así seguir agrandando su historia en el Barcelona, del que ya es el mejor goleador histórico y el jugador más laureado con 33 trofeos.
 ",Messi llega a 400 goles en La Liga,http://eluniversal.com.mx/universal-deportes/futbol/messi-llega-400-goles-en-la-liga
"El punto G pareciera ser el santo grial del sexo. Todos los hombres quieren encontrarlo y existen numerosas publicaciones que te dicen cuáles son las mejores posiciones para estimularlo. 
A pesar de esto, la realidad es que aún hace falta mucha investigación sobre este tema. Mientras la ciencia se acerca más a la verdad, aquí te damos algunos datos interesantes sobre esta zona tan polémica de la anatomía femenina.  
1. Su existencia es un debate
Aunque muchas mujeres aseguran que la estimulación en esa zona les provoca orgasmos intensos, lo cierto es que aún no existe una prueba contundente de su existencia como un punto anatómico específico.  
Hay estudios que aseguran haberlo encontrado mientras que otros desmienten su existencia y señalan que el placer proveniente de esa zona puede deberse a otros factores, algunos de ellos psicologicos. 

2. Se llama punto G en honor a su descubridor
A esta zona tan controversial se le dio su nombre en honor a Ernst Gräfenberg, ginecólogo alemán, quien propuso su existencia por primera vez en la década de 1940, en un artículo titulado “El papel de la uretra en el orgasmo femenino”, de acuerdo con información de un estudio de la Universidad de Trakia (Bulgaria).

3. Su localización se señala en la pared vaginal
Dentro de uno de los estudios que señala haber comprobado su existencia se afirma que éste se encuentra a unos cuantos milímetros de la parte superior del meato uretral y que crea un ángulo de 35 grados con la uretra.
Por otro lado, para quienes apuestan porque que sólo se trata de una zona muy sensible la ubicación de esta área sería donde la porción interna del clítoris se interseca con la vagina y la uretra. 

4. Es posible ampliarlo
Sí, aunque suene un poco descabellado (y aunque su existencia no ha sido del todo confirmada) ya existe un procedimiento estético que permite a las mujeres ampliarlo para que sea más fácil de localizar y los orgasmos sean más intensos.
El proceso implica colocar ácido hialurónico en la región y aunque no sabemos si realmente es el punto G, un estudio señala que esta sustancia sí aumenta la sensibilidad en la pared vaginal debido a que infla la zona inyectada; a pesar de esto, muchos médicos lo consideran un procedimiento innecesario, según señala un artículo sobre el tema.

5. Su origen puede ser psicológico
Entre todo el debate también existen teorías que señalan que el origen del punto G se debe a aspectos psicológicos. 
Existen estudios que señalan que las mujeres que dicen haber experimentado un orgasmo con estimulación de este punto eran más abiertas a su sexualidad y más liberales que aquellas que reportaron nunca haberlo sentido.
Esto podría deberse a que el placer provocado por la penetración vaginal es más fácil de lograr para aquellas mujeres que están más abiertas a experimentar. 

 
",,http://www.elbotiquin.mx/sexualidad/5-datos-que-debes-conocer-sobre-el-punto-g
"
El triunfo de Chivas en el estadio Azteca ante Cruz Azul, representó la segunda victoria consecutiva del equipo rojiblanco en el naciente torneo.
La sequía de resultados positivos, fue una de las situaciones que llevó a Chivas a ser uno de los peores equipos de la Liga MX en el semestre anterior.



Artículo


Chivas gana a Cruz Azul en el Azteca 

Universal Deportes


Ronaldo Cisneros anotó el gol del triunfo para los tapatíos 








Fue justamente el Apertura 2018, el torneo pasado, donde el Guadalajara logró ganar partidos de forma consecutiva.
Ganaron en la Jornada 5 ante Veracruz en el Luis 'Pirata' Fuente. El resultado fue 0-2 con goles de Javier 'Chofis' López (Actual lesionado en el plantel).
Después, en la Jornada 6, vencieron en casa 1-0 a Necaxa con gol de Ángel Zaldívar (hoy a préstamo con Monterrey). Este partido fue el último que ganaron en casa antes del triunfo en la Jornada 1 del Clausura 2019.
En la Jornada 7, ante los Rojinegros del Atlas, se llevaron la victoria 0-1 en la cancha del estadio Jalisco con anotación de Orbelín Pineda (hoy jugador de Cruz Azul).
El próximo domingo 20 de enero, Chivas buscará igualar lo realizado el torneo anterior, cuando reciban al Toluca a las 18:00 hrs en actividad de la fecha 3 de la Liga MX.
  
",La última vez que Chivas hiló victorias en liga,http://eluniversal.com.mx/universal-deportes/futbol/la-ultima-vez-que-chivas-hilo-victorias-en-liga
