body,title
"
[email protected]

En casas, bodegas, centrales de abasto, comercios, así como en las orillas de carreteras se vende huachicol, que se transporta en pipas o en contenedores que llevan en camionetas o camiones tras extraer el combustible ilegalmente, de acuerdo con especialistas y datos del gobierno federal.
 Según las estimaciones del presidente Andrés Manuel López Obrador, se estaban desviando de Petróleos Mexicanos (Pemex) 10 millones de dólares diarios con las perforaciones clandestinas a las tuberías.

Foto: Archivo/EL UNIVERSAL 
 El presidente Andrés Manuel López Obrador, insistió hoy sobre su estrategia para evitar el robo de combustible.
 Se quiere, dijo, “terminar con el huachicoleo por el daño que ha causado a la sociedad y a la nación. No hay que dejar de tener en cuenta que se robaron el año pasado más de 60 mil millones de pesos, que crearon a través de los años, por la impunidad, un sistema de distribución de gasolina, de diesel paralelo al sistema de distribución de Pemex. 
 “Crearon como otra empresa, una economía informal manejada cuando menos con la complacencia, tolerancia de las autoridades. Y esto se está combatiendo porque no se puede permitir la corrupción, se acabó la corrupción e impunidad. Se están utilizando elementos de la Policía Federal, de la Policía Militar y Policía Naval para resguardar los ductos”, subrayó.

Foto: Berenice Fregoso
 De acuerdo con el gobierno federal, el modelo de operación del robo de hidrocarburos “era un asunto que se manejaba desde adentro y afuera”, puesto que “tenía que haber una complicidad en el interior que permitiera que en el ducto siguiera fluyendo el combustible para podérselo robar”.
 EL UNIVERSAL ha publicado respecto a la comercialización ilegal, que en Puebla, en un recorrido que se hizo en julio de 2017, se observó bajo el puente sobre la carretera 150 que va de la capital de ese estado a Tehuacán, la ley es la del huachicolero, puesto que el negocio de la venta de combustible, sustraído de las tomas clandestinas en el llamado Triángulo Rojo, se ha dado al interior de la Central de Abasto y en sus inmediaciones.
 Camionetas de reciente modelo con su cajuela abierta, pick up y hasta un camión de carga se encuentran ahí a la espera de compradores del producto ilícito, ese por el que ya se pelean organizaciones criminales.
 Entre los olores de las frutas y verduras intentaban esconder el de la gasolina que traían en sus bidones. 
 Ese punto fue señalado por autoridades locales como uno de los principales centros de venta clandestina. Ahí pasan los que llevan mercancía para Veracruz, Oaxaca, Tabasco, Chiapas.
 En tanto, los llamados chupaductos han mejorado su actividad ilegal, puesto que antes tardaban horas para colocar la toma en un tubo, ahora en menos de 40 minutos lo hacen. Más aún, en siete minutos tienen cargada una pipa, por eso durante los operativos deben actuar a la brevedad.
 Los huachicoleros taladran el ducto, despacio, para no provocar un incendio, que ya han sucedido.
 Por eso llevan agua para que no se caliente y explote el tubo al momento de perforarlo. Luego lo sellan y colocan la válvula y tienen hidrocarburo a presión.
 En junio de 2017, la entonces Comisión Nacional de Seguridad (CNS), por medio de la dirección de química y toxicología forense de la División Científica de la Policía Federal, realizar en análisis con equipo de tecnología de punta de muestras de huachicol obtenidas por EL UNIVERSAL, de lo que se concluyó que  ninguna cumplió con los estándares de una gasolina Magna o Premium.
 Se comprobó que para obtener mayores ganancias las organizaciones dedicadas al robo de hidrocarburos rebajan la gasolina con diesel, grasas u otro tipo de aceites, lo que causa severas afectaciones de los motores de los vehículos.
 Desde obstrucción en el sistema de bombeo de gasolina, fallas en el sistema de encendido de motor, en el sistema de inyección, en válvulas, formación de depósitos en las cámaras de combustión y de aceite, así como daños en anillos y pistones, son algunos daños que causa el uso del huachicol.
 Foto: Archivo/EL UNIVERSAL 
 Rodrigo Soto, especialista en seguridad y académico de la Universidad Panamericana, señaló que el aumento exponencial de ""incidentes"" tanto dentro de la paraestatal como en los ductos se remonta a más de una década.
 “Es el típico fenómeno de bola de nieve que se volvió imparable y de dimensión macro. Ahora estamos en esa situación que dice el dicho: ""ahogado el niño, tapado el pozo"". Se tenía que pagar un precio tarde o temprano, y hemos empezado ya a pagarlo todos”.
 Señaló que al entrecruzarse el crimen organizado con la generación de fugas, distribución y venta ilegales, se empezó a dar la toma de plazas y se volvió imposible perseguir a cada uno a uno a los autores.
 “La red se extendió, se hizo compleja al crearse una cadena de suministro paralela, y los empresarios y dueños de estaciones de combustible para poder crecer económicamente, terminaron acudiendo a ella. Los hilos están tan enredados que se comprende que se haya optado por una estrategia sistémica, en lugar de una ""cacería de ratones”.

Foto: Archivo/EL UNIVERSAL 
 Javier Oliva, académico de la Facultad de Ciencias Políticas y Social de la UNAM, y especialista en temas de seguridad nacional, consideró que hay una clara evidencia de las organizaciones de robo de combustible con personal de Pemex, puesto que “para que los criminales sepan cuando va a bajar la presión de los ductos se necesita información interna,
además, de cierto grado de tecnología, aunque sea rudimentario. Es algo muy evidente esta complicidad.
 “Pero también este problema tiene que ver con el abastecimiento de combustible que se le da a las bandas de delincuentes, porque ni modo que éstos lleguen a una gasolinera y digan: “Despáchenme 500 pesos de gasolina con sus armas y pertrechos militares"".
 Ante la estrategia del gobierno federal contra el robo de combustible que ha ocasionado la escasez del combustible en varias partes del país, Rodrigo Soto apuntó que los resultados de esta medida dependerá de ""terminar bien"" o ""acabar bien las cosas"", es decir, “no sólo hay que evitar el ilícito, sino también detener y vincular a proceso a las cabezas de alto nivel y a los mandos intermedios; irrumpir en su flujo financiero y romper toda la cadena de suministro ilegal en su origen, en sus procesos y en el expendio final. Dada la magnitud del problema, eso llevará mucho tiempo, y dice bien el Presidente: ""Es una carrera de fondo, no de velocidad"".
 Javier Oliva reconoció que la decisión del gobierno federal de terminar con este delito, aunque reclamó que era una situación que pudo haberse combatido desde hace tiempo, “usando drones, cámaras de video vigilancia, pero fue hasta ahora que el presidente López Obrador decidió llevar a la práctica acabar con este delito”.
",¿Cómo opera el huachicol dentro y fuera de Pemex?
"
Muchas personas tienen el sueño de trabajar en otro país por las oportunidades y el deseo de conocer más lugares. Uno de los países que brinda la posibilidad de trabajar en su territorio es Canadá, aquí te compartimos algunos programas para trabajar en el país de la hoja de maple.

(Foto: Pixabay)
Uno de los programas para conseguir empleo en Canadá es el Programa de Trabajadores Agrícolas temporales (PTAT), para ser elegible en este programa las personas interesadas deben dedicarse a la agricultura, tener entre 22 y 45 años de edad, contar con una escolaridad mínima de tercero de primaria y tercero de secundaria, así como tener dependientes económicos.
La estancia máxima permitida por el PTAT es de ocho meses, en este tiempo los trabajadores son asignados a diferentes granjas, también se les ofrece una vivienda, un salario previamente establecido y se cuenta con todas las garantías laborales así como un seguro médico.
 



Artículo


Los países con menos horas de trabajo en el mundo

Destinos


Descubre en qué país se trabaja un 60% de lo que se labora en México 








Otro de los programas que ofrece Canadá se encuentra dentro de la Entrada Exprés, en ella se incluye el Programa Federal de Trabajadores Calificados que requiere tener experiencia de un año continuo y habilidades en el idioma francés e inglés.
El Programa Federal de Trabajadores Calificados también requiere que tengas planeado vivir fuera de la provincia de Quebec y dos años de experiencia en un trabajo a tiempo completo.
Para consultar los detalles de cada programa y enviar tu solicitud para aplicar en los programas de Entrada Exprés visita sitio del Gobierno de Canadá.
 



Artículo


9 ideas para gozar de Montreal en invierno

Destinos


En la segunda ciudad más importante de Canadá, la temporada de nieve termina hasta marzo 







",Programas para buscar empleos en Canadá
"
Monterrey.- Jaime Rodríguez Calderón ofreció disculpas a quienes se hayan sentido ofendidos por sus palabras a una ciudadana, donde le dijo que hubiera vendido una cadenita para comprar el aparato de adulto mayor que requería ayuda.
A través de un video, “El Bronco” expuso que pretendía un poquito aclarar donde “dicen que yo le dije, bueno, si le dije a la señora Argelia Montes” lo de vender la cadenita, pero afirmó que fue en son de broma porque la conoce, es su amiga de hace mucho tiempo, e incluso participó con él en la campaña (por la gubernatura) y promovió las candidaturas independientes por todo México.
Explicó que el incidente ocurrió el miércoles por la noche durante una reunión de casi hora y media de que atendió a Montes, Rocío Montalvo y parte de su equipo de activistas, donde pretendían convencerlo de no aumentar las tarifas del transporte.
“Ya al final ella me dice que hay un señor que dice que nunca lo apoyamos, yo le vi una cadenita, me llevo con ella, es mi amiga desde hace mucho tiempo, participó conmigo en la campaña, promovió las candidaturas independientes en todo México, no tengo nada en contra de ella, no lo hice con el afán de ofender a nadie, le dije ¡qué cadenita, con ese le compras el aparato!. Fue en son de broma”.
Agregó que ese señor por el que abogó Montes desde diciembre de 2015 va al Palacio de Gobierno y siempre se le atiende como a más de 40 mil personas que son atendidas cada año. Por eso pidió que no lo malinterpreten, y acusó que quienes subieron el video sobre el incidente, lo editaron y pusieron sólo un pedacito para tratar de ganar simpatías.
Reiteró que no quiso ofender a nadie, volvió a ofrecer disculpas y señaló que el señor que requería el aparato tiene su respeto, aunque de repente se enoja, pero en su gobierno tienen paciencia para atender a todos, y si todo mundo tiene una razón, el gobierno tiene una función que es ayudar a los que no tienen, y respetar a los que tienen y pagan sus contribuciones (impuestos) para poder realizar las obras y acciones de gobierno.

afcl
","""El Bronco"" ofrece disculpas por incidente de ""la cadenita"""
"
Jorge Sánchez, exdirector del Instituto Mexicano de Cinematografía (Imcine), dijo estar muy conmovido con la noticia del fallecimiento del actor Fernando Luján ocurrida hoy en su casa de Puerto escondido, Oaxaca.
“Caray, la vida se porta de manera cruel con las personas que merecen vivir más tiempo; sin duda, no solamente el cine, el teatro y la televisión pierden a un actor de primer orden sino a una persona agradable, ingeniosa y amabilísima”, dijo el exfuncionario.
Sánchez Sosa, quien fue el productor del filme “El Coronel no tiene quien le escriba”, en el que Luján interpreta el personaje central: “Conocí a una actor ciento por ciento disciplinado a su trabajo, profesional como pocos y que desbordaba gentileza”.
“Me acuerdo cuando estábamos haciendo ´El Coronel no tiene quien le escriba´, allá en Cosamaloapan, en una de las locaciones, cuando al terminar el día nos reunimos en una casa que estaba ahí, rentada, a jugar domino”, comentó el entrevistado.
Sánchez Sosa dijo que Luján se despojaba de su personaje para tomar unos tragos, “a relajar el cuerpo, conversar. Él era un gran conversador. Jamás me olvidaré de algún día que nos quedamos él y yo, y me contó parte de la historia de su vida”.
“Si no me equivoco, de los nueve hijos que llegó a tener. Y de cada uno contaba sus cualidades y expresaba su cariño; un gran amigo, una pérdida para el cine mexicano, aunque suene de lo más común, pero sin duda que su versatilidad, también su sangre de actor, se extrañará”.
Cuestionado acerca de cómo lograron convencerlo para interpretar a “El Coronel” en una de las más grandes obras de Gabriel García Márquez, Sánchez Sosa fue sincero y relató que fueron el director Arturo Ripstein y su pareja. la guionista Paz Alicia Garciadiego, quienes lo sedujeron, además de que ya se conocían de tiempo atrás.
“Trabajar con Fernando, lo logró; además de que siempre ha tenido muy buen ojo y una percepción de las capacidades de los acotes (sic) que forman parte de sus películas. Y fue así como yo lo conocí, a través de Arturo y lamento su pérdida como cineasta y como mi amigo que fue"".
El exfuncionario subrayó que Fernando Luján era un actor sumamente versátil, en la comedia, el drama, hasta el musical, siempre mostró sus capacidad camaleónica para dar vidas a innumerables personajes.
Agregó que lo mismo lo podemos disfrutar en cintas como “El mil amores” con Pedro Infante y Rosita Quintana en su época de adolescencia, o en los filmes musicales de la era de la violencia juvenil en los 60, “ahí estaba siempre Fernando. Y él es un referente del cine mexicano que tenía esa versatilidad, con actuaciones muy diversas”.
“Obviamente, para mí ‘El Coronel no tiene quién le escriba’, es lo mejor, es una película a la que le tengo gran cariño y me quedó con él como persona. De verás me da mucha tristeza, pero así es esta perra vida que da y quita”, comentó.
rad 
","""Fernando Luján era profesional, disciplinado y gentil"" "
"El juego del muelle es un juego de tipo sexual que surgió en Colombia y que rápidamente se hizo popular entre los adolescentes, no sólo en dicha nación sino también en varios países de América Latina y en España.
Este juego consiste en que varios hombres se colocan en círculo, sin ropa interior, mientras mantienen una erección. Una vez que existen estas condiciones, una chica se sienta encima de uno de ellos para ser penetrada.
La joven debe permanecer en dicha posición durante 30 segundos antes de pasar al siguiente. Pierde el juego quien no logre aguantar y eyacule en la joven, según señala el periódico El Confidencial. 
Otra particularidad del juego es que, según las reglas del mismo, puede ser practicado con varios hombres y una mujer o con varias mujeres y un sólo hombre.  
Esta práctica es considerada como una actividad sexual de riesgo debido a que la mayoría de las veces se realiza sin preservativo y bajo los influjos del alcohol o drogas. 
El juego comenzó a volverse una alerta de salud debido a que surgieron casos de adolescentes que resultaron embarazadas tras participar en este riesgoso juego también conocido como “la ruleta sexual” o “carrusel”. 
De acuerdo con análisis sobre las prácticas sexuales de riesgo entre los jóvenes de Bogotá, estos parecen no estar conscientes de los riesgos que implica este y otro tipo de juegos similares.
Y es que además de los embarazos no deseados, son más propensos a contraer infecciones sexuales tales como el VIH, VPH, sífilis y gonorrea, por mencionar algunas.
Por otro lado, debido a que, en muchas ocasiones, la mujer realiza la penetración sin excitación corre el riesgo de desarrollar vaginismo, una contracción involuntaria de los músculos de la vagina impide la penetración y la vuelve dolorosa, de acuerdo con información del Instituto Sexologico Murciano (España).
 
",
"

Redacto esta entrega desde la indignación y la preocupación compartida con miles de mexicanos por el desabasto de gasolina que afecta desde hace tres días a la CDMX y a por lo menos diez estados del país desde hace casi dos semanas.
 Después de analizar detenidamente lo que ocurre, llego a la conclusión de que la respuesta a la pregunta que encabeza esta columna es simple: los ductos que distribuyen las gasolinas fueron cerrados porque no hay otra manera de extirpar de raíz el multimillonario saqueo de Pemex que, en medio de un lodazal de corrupción pública y privada, significó para el país, en 2018, una pérdida de 60 mil millones de pesos por el robo de gasolina.
 Para avalar el aserto debe entenderse primero cómo opera el huachicol y hacerlo obliga a desechar la equivocada idea de que solamente se trata de delincuentes que perforan ductos para llevarse bidones con gasolina.
 Empezó así, como un robo hormiga que amplió y ahora controla la delincuencia organizada. Pero de esas tomas clandestinas (213 con Fox, mil 635 con Calderón y 10 mil 363 con Peña Nieto, al concluir sus respectivos gobiernos) solamente sacan 20% del combustible robado a Pemex. 
 A ese modus operandi se le conoce como tomas calientes, se lleva a cabo de manera improvisada para ordeñar hidrocarburo en poco tiempo. Es el que causa más accidentes y el más visible para los medios de comunicación y el ciudadano.
 Pero su operación se ha sofisticado. La perforación ya no es tan improvisada, pues se ha sumado a ella personal de Pemex que, una vez que la concluyen, llama a los huachicoleros para que, en horarios acordados con las policías locales, acudan a cargar sus camiones. A unos metros de esos ductos han construido casas y bodegas donde almacenan la gasolina robada. Desde ahí, más barata que en el mercado legal, se distribuye a empresas y gasolinerías en camiones o incluso en barcos operados por la delincuencia organizada; o se vende directamente a quienes acuden a comprarla. 
 Pero el restante 80% del combustible robado a Pemex es sacado mediante una bien organizada estructura que opera desde adentro de la petrolera, con la colusión u omisión de sus funcionarios y la participación de personal sindicalizado y sus líderes.
 La periodista Ana Lilia Pérez, quien ha investigado sobre el huachicol durante los últimos 15 años, refiere que otro modo de operación del robo de combustibles es el de las redes paralelas. Personal altamente especializado de Pemex ha colocado sistemas de válvulas a los poliductos de la petrolera para desviar el combustible hacia la red de ductos instalada para el huachicol. 
 Y otra, acaso la más antigua, es la de los propios transportistas de la empresa productiva del Estado, quienes para cargar en sus camiones-tanque el combustible que distribuirán, deben entregar un recibo o factura que ampare el monto de lo cargado. Pero muchas veces los empleados de Pemex permiten que con un solo documento esos transportes obtengan dos o tres cargas, lo que quiere decir que por cada cargamento legal existen uno o dos ilegales. Los transportistas de la petrolera están en el corazón del ilícito negocio. No en balde la plaza de chofer de pipa es una de las más cotizadas dentro del sindicato petrolero. Su líder nacional, Carlos Romero Deschamps tiene esa plaza.
 Pero el cerebro de todo está en la torre corporativa de Pemex en Marina Nacional. Desde ahí se monitorea en tiempo real, durante las 24 horas, la producción, transportación y distribución de los hidrocarburos. Desde ahí no solo se detecta, sino que se sugiere, dónde puede haber tomas clandestinas. También desde ahí se pueden apreciar las válvulas de la red paralela, las cargas de producto para su distribución y los suministros, legales o robados, a la red de gasolinerías del país. Con esos datos el director de Pemex recibe un informe diario. Los números nunca cuadran. Quiere decir que sigue el robo.
 El desmontaje total de esa estructura criminal pasa necesariamente, colegirá usted conmigo, por el momentáneo cierre de ductos para recuperar tomas clandestinas y clausurar las válvulas de desvío hacia las redes paralelas. Inevitable afectar al consumidor. Peligroso para la economía que la situación no se normalice a la brevedad. Y los intereses tocados no parecen dispuestos a dejarse. Por eso los dos sabotajes en el ducto Tuxpan-Azcapotzalco que han alargado el desabasto en la CDMX.
 INSTANTÁNEAS: 1. REVANCHA. Dicen los que saben que el gobernador de Quintana Roo, Carlos Joaquín no ha podido superar la derrota que le infligió Morena el 2 de julio al ganarle las tres diputaciones federales, la fórmula del Senado y los municipios mas importantes: Chetumal, Cancún y Playa del Carmen, éste último su bastión que tuvo que entregar a la alcaldesa Laura Beristain. Explican que su campaña de culpar de la violencia que asuela al estado a los gobiernos municipales morenistas pretende generar una percepción negativa de ese partido, de cara a las elecciones de este año para renovar el Congreso local.
 2. EDUCACIÓN. El empresario Eduardo Javier Natividad Maqueda, considerado líder de opinión en materia educativa, promueve a través de la fundación que lleva su nombre un centro de aprendizaje con 300 niños del país fundamentado en indagar, experimentar, descubrir y construir “para que sean creativos al pensar, equilibrados al sentir y presentes en su actuar”. Está por abrir dos centros más.
 [email protected]
raulrodriguezcortes.com.mx
@RaulRodriguezC
",¡¿Por qué cerraron los ductos?!
"

Bastante se ha hablado sobre el Plan Conjunto del Gobierno de México para Combatir el Robo de Hidrocarburos, sin embargo, poco se ha analizado de lo que se necesita para que este delito no quede impune. Menciono algunos aspectos clave a considerar en el combate a la impunidad del “huachicoleo”.

Frenar la comisión de un delito no implica sancionarlo. Parte de la estrategia consiste en frenar la comisión del delito de robo de hidrocarburos, lo cual no es poca cosa, sin embargo, esto no implica que se investigue y se sancione. Por declaraciones de la secretaria de Energía y del presidente se puede dilucidar que el cierre de ductos tiene también como objetivo identificar los puntos de fuga, así como al personal que se encargaba de la supervisión del mecanismo de vigilancia de presión de los ductos. Esto es un gran paso, sin embargo, es necesario que se dé a conocer más información sobre la estrategia que se está siguiendo para investigar y llegar a sancionar los diversos delitos que implica el huachicoleo.

Otro punto a tomar en cuenta es que no por tener carpetas de investigación abiertas se puede asumir que el delito ya no quedó impune. Ayer, durante su conferencia matutina, el presidente y el secretario de despacho de la Fiscalía General mencionaron que ya existen varias carpetas de investigación abiertas. Sin embargo, desde años anteriores se reportan un gran número de carpetas de investigación abiertas por este delito. De éstas, una gran parte no ha obtenido una sentencia (al respecto recomiendo el artículo “Huachicoleo y el desabasto de justicia”, de María Novoa).

Son dos impunidades: impunidad en el delito de robo de hidrocarburos e impunidad en corrupción. Es indispensable considerar que aunque se hable de cero impunidad en la corrupción del huachicoleo, por el momento sólo tenemos noticia del intento de sancionar los delitos que implica ese robo (resguardo, transporte, sustracción, compra, etc.) Aunque se mencionó que “hay huachicoleros de arriba y de abajo”, sólo se tiene constancia de que se despidió y denunció a algunos encargados de la supervisión del mecanismo de vigilancia de presión de las pipas. La secretaria de Gobernación mencionó que se está trabajando con la Unidad de Inteligencia Financiera para detectar y congelar las cuentas que lavaban el dinero obtenido por estos robos. Sin embargo, para poder sancionar y terminar con la red de corrupción del huachicoleo se tienen que investigar, tanto administrativa como penalmente, a funcionarios de todos los niveles involucrados en el robo, no sólo a funcionarios de rango medio. Para que ello pase se requiere de la coordinación de distintas dependencias que dé como resultado la investigación del modo de operar de esta red de corrupción.

Prisión preventiva equivale a impunidad. Ayer Alejandro Gertz Manero declaró que se está trabajando “sobre la flagrancia” para combatir el delito del huachicoleo. Esto parece indicar que la estrategia de investigación y de sanción está enfocada en los últimos eslabones de esta red delictiva. Por otro lado, se ha mencionado en varias ocasiones que se están haciendo las reformas constitucionales necesarias para que el huachicoleo sea considerado como delito grave que no amerita fianza.

Entre estas reformas está la de incluir el robo de hidrocarburos entre los delitos que ameritan prisión preventiva oficiosa. Es importante aclarar que si una persona es detenida y puesta en prisión preventiva por el delito de huachicoleo, o cualquier otro, ello no equivale a sancionar el delito.

Para que ello ocurra se requiere tener una investigación y sanción en la que realmente se compruebe que el delito aconteció por la persona detenida.

Celebro que se decida atacar la impunidad en un delito que tanto nos afecta, pero falta ver qué se está haciendo para sancionar estas conductas. Espero que el lunes en la conferencia de prensa se toquen algunos de estos puntos.
 Directora ejecutiva de Impunidad Cero
",¿Cero impunidad en huachicoleo?
"
Guaymas.- Elementos de la Marina-Armada de México detuvieron al conductor de un carro-tanque que, con sellos alterados, pretendía sacar 66 mil litros de turbosina de la terminal marítima de Petróleos Mexicanos (Pemex).
De acuerdo a fuentes de la Secretaría de Seguridad, los hechos ocurrieron a las 21.49 horas del jueves 11 de enero, en el interior de la Terminal de Abastecimiento y Reparto de Pemex en el puerto de Guaymas.
La unidad marca Kenworth, azul, acoplado a un semirremolque tipo tanque de la marca Tytal y un remolque, estaba cargada con 33 mil litros de combustible en cada uno de sus depósitos.
Al pasar por la caseta de revisión a la salida de la terminal marítima, los elementos de la Marina detectaron que tenía los sellos alterados y no correspondían a la documentación oficial, por lo que se detuvo al conductor de nombre Othón Jaime “N”.
El conductor del vehículo fue detenido y, tanto la unidad doble remolque, como los 66 mil litros de turbosina, quedaron asegurados y puestos a disposición del agente del ministerio público de la federación, para el deslinde de responsabilidades correspondiente.

A finales de diciembre, el presidente Aadrés Manuel López Obrador anunció un plan para detener el robo de combustible, que en 2017 ocasionó pérdidas por 60 mil millones de pesos (unos 3.000 millones de dólares).
El plan del gobierno implica la vigilancia por parte de las fuerzas armadas de 50 puntos estratégicos de Pemex y catalogar el robo de combustible como un delito grave sin derecho a fianza.
El gobierno pidió también a las gasolineras no vender combustible robado y a los clientes no comprarlo.
El robo de combustible a Pemex, que involucra a cárteles de la droga, ha crecido durante los últimos año
 



Gráfico


Puebla. La génesis del huachicol

Estados


Puebla es el ejemplo más acabado de lo que puede pasar en México cuando la negligencia de la autoridad, la corrupción y la pobreza se combinan para transformar un delito insignificante y anecdótico en una amenaza a la seguridad nacional. No siempre fue este estado, como hoy, escenario de choques sangrientos entre soldados y ladrones de combustible que llevan años sacando millones de pesos de la ordeña clandestina de los ductos por los que Pemex bombea sus combustibles. 







En 2017 se detectaron 10 mil 363 tomas clandestinas en los conductos de la petrolera, y en 2018 se tenía reporte de 12 mil 581 hasta octubre.
Con información de EFE
","Detienen a presunto ""huachicolero"" dentro de Pemex Guaymas"
"
Los secretarios de la Defensa Nacional, Luis Crescencio Sandoval, y de la Marina Armada, José Rafael Ojeda Durán, defendieron la creación de la Guardia Nacional, lo cual, aseguraron, estará bajo mando civil.
En un hecho inédito, los mandos militares participan este viernes en las audiencias públicas organizadas por la Cámara de Diputados para debatir este tema con diversos sectores de la sociedad.
El general Luis Crescencio Sandoval afirmó que la responsabilidad del empleo de la Guardia Nacional será competencia civil y que al Ejército sólo le corresponderá ejecutar las tareas operativas en el terreno con base en los requerimientos señalados por las coordinaciones de seguridad.
 

 

EN DIRECTO en #Periscope Anuncia @AlfonsoDurazo el mando civil de la guardia nacional https://t.co/7G6DSLCb6l
 — Aleida Alavez Ruiz (@ALEIDAALAVEZ) 11 de enero de 2019
 “En este sentido y a manera de aclaración, les comento que el control operativo en las comunidades donde desplegará la Guardia Nacional le corresponderá a un elemento de la Guardia Nacional por contar con el conocimiento técnico para dirigir la fracción asignada”, aseguró.
 Respecto al ámbito de competencia, Sandoval González aclaró que no sustituirán las labores de investigación del Ministerio Público.
 “Respetuosamente les hago saber que este cuerpo de seguridad pública será únicamente en apoyo del Ministerio Público y bajo ninguna circunstancia suplirá a esa representación social”, expuso.
 A su vez, el almirante José Rafael Ojeda Durán afirmó que la capacitación militar de la Guardia Nacional no debe entenderse como una preparación para la guerra.
 “La creación de una Guardia Nacional tiene como propósito que el Estado mexicano disponga de un cuerpo policial de máximo nivel, para la preservación de la seguridad pública”, indicó.

jno
",Titulares de la Sedena y Semar defienden a la Guardia Nacional
"
En México existen diversas aplicaciones que puedes descargar en tu teléfono celular para conocer precios, ubicación y servicio de diversas gasolineras.
Gasoapp
Es la aplicación oficial de la Comisión Reguladora de Energía (CRE) y permite localizar la gasolinera más cercana a tu ubicación así como conocer los precios más baratos y caros del combustible en la zona donde te encuentras.
Además te permite mandar reportes ciudadanos sobre el servicio y veracidad de la información.
Gasolina MX versión clásica
Cuenta con los precios de la gasolina y diésel en un listado donde brinda las gasolineras cercanas a tu ubicación ordenadas desde el menor precio hasta el mayor.
Incluye la fecha en la que se actualizó el dato del precio, el mapa de la gasolinera y calculadora para convertir litros y costo.
Tanque lleno
Esta aplicación informa sobre las gasolineras que dan litros completos y cuenta con el historial de revisiones realizadas por la Procuraduría Federal del Consumidor (Profeco).
Permite almacenar tus datos de recarga de gasolina y conocer cuánto gastas en combustible mensualmente.
Guía Pemex
Esta plataforma cuenta con la información de las gasolineras que pertenecen a la franquicia Pemex a nivel nacional.
Informa sobre la ubicación, tipo de combustible, precios, medios de pago que reciben, negocios que hay en la gasolinera y permite dejar comentarios.
vcr
",Conoce las apps que informan sobre gasolina y su abasto
